127.0.0.1 - - [04/Feb/2024:18:43:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:43:19 +0530] "GET /HelloWorldAPPP/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:43:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:43:44 +0530] "GET /HelloWorldAPPP/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:43:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:43:56 +0530] "GET /HelloWorldAPPP/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:44:05 +0530] "GET /HelloWorldAPPP/test HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:44:53 +0530] "GET /HelloWorldAPPP/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:56:39 +0530] "GET /MyOne/ HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:57:11 +0530] "GET /MyOne/MyOneServie HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Feb/2024:18:57:22 +0530] "GET /MyOne/MyOneServie HTTP/1.1" 404 772
